Reading config file...
2022/03/21 15:35:11 Now running. Press CTRL-C to exit.
guild ID: 830676304487120956
626642947416260617 FeelsBadMan 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
737497602500722778 wakaTeehee 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
776312281906020383 SadCat 2022-03-23
606978613044051979 LULW 2022-03-23
606977852436512823 PepeLaugh 2022-03-23
684583765263122435 ohIAki 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
684232901650546741 sadface 2022-03-23
684232901650546741 sadface 2022-03-23
686040205308067870 iroPog 2022-03-23
606977852436512823 PepeLaugh 2022-03-23
823759838622253057 wobbleWobble 2022-03-23
640030122447208488 yamero 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
684199059900465152 smol 2022-03-23
606980165871992879 DColon 2022-03-23
869804326162423878 notLikeUni 2022-03-23
755933519133409360 bunnyHappi 2022-03-23
786987131612037181 umuPensive 2022-03-23
606980165871992879 DColon 2022-03-23
686040205308067870 iroPog 2022-03-23
820003977268822096 IrizchuPat 2022-03-23
606980165871992879 DColon 2022-03-24
606980165871992879 DColon 2022-03-24
737497603528327169 wakaHug 2022-03-24
684588286496342059 YellowHopeless 2022-03-24
